x:334	y:513	width:55	height:29	text:88	confidence:and	level:5	isAnnotation:False
x:401	y:514	width:59	height:41	text:91	confidence:dry,	level:5	isAnnotation:False
x:480	y:529	width:70	height:18	text:91	confidence:even	level:5	isAnnotation:False
x:567	y:522	width:46	height:28	text:91	confidence:the	level:5	isAnnotation:False
x:628	y:523	width:88	height:30	text:69	confidence:'Dove	level:5	isAnnotation:False
x:73	y:551	width:640	height:40	text:-1	confidence:nan	level:3	isAnnotation:False
x:73	y:551	width:640	height:40	text:-1	confidence:nan	level:4	isAnnotation:False
x:73	y:551	width:94	height:38	text:84	confidence:finally	level:5	isAnnotation:False
x:184	y:551	width:117	height:30	text:86	confidence:forfook	level:5	isAnnotation:False
x:318	y:556	width:35	height:32	text:85	confidence:its	level:5	isAnnotation:False
x:373	y:555	width:75	height:32	text:91	confidence:Gen.	level:5	isAnnotation:False
x:469	y:558	width:25	height:28	text:94	confidence:8.	level:5	isAnnotation:False
x:510	y:568	width:42	height:19	text:92	confidence:12.	level:5	isAnnotation:False
x:595	y:561	width:67	height:29	text:93	confidence:And	level:5	isAnnotation:False
x:679	y:572	width:34	height:19	text:76	confidence:trs	level:5	isAnnotation:False
x:71	y:591	width:734	height:168	text:-1	confidence:nan	level:3	isAnnotation:False
x:72	y:591	width:643	height:40	text:-1	confidence:nan	level:4	isAnnotation:False
x:72	y:591	width:83	height:28	text:93	confidence:much	level:5	isAnnotation:False
x:168	y:592	width:109	height:37	text:74	confidence:fo_with	level:5	isAnnotation:False
x:289	y:602	width:45	height:18	text:84	confidence:us:	level:5	isAnnotation:False
x:356	y:593	width:54	height:34	text:33	confidence:the,	level:5	isAnnotation:False
x:425	y:595	width:82	height:30	text:70	confidence:Worlt	level:5	isAnnotation:False
x:525	y:597	width:35	height:30	text:84	confidence:of	level:5	isAnnotation:False
x:571	y:610	width:64	height:19	text:90	confidence:men	level:5	isAnnotation:False
x:655	y:603	width:60	height:28	text:90	confidence:will	level:5	isAnnotation:False
x:71	y:632	width:728	height:39	text:-1	confidence:nan	level:4	isAnnotation:False
x:71	y:632	width:162	height:37	text:84	confidence:commonly	level:5	isAnnotation:False
x:249	y:634	width:31	height:25	text:91	confidence:in	level:5	isAnnotation:False
x:300	y:632	width:133	height:31	text:67	confidence:diitreires	level:5	isAnnotation:False
x:450	y:635	width:70	height:29	text:87	confidence:have	level:5	isAnnotation:False
x:536	y:640	width:129	height:28	text:83	confidence:recourfe	level:5	isAnnotation:False
x:682	y:650	width:32	height:21	text:94	confidence:to	level:5	isAnnotation:False
x:796	y:658	width:3	height:3	text:32	confidence:.	level:5	isAnnotation:False
x:72	y:668	width:733	height:42	text:-1	confidence:nan	level:4	isAnnotation:False
x:72	y:668	width:65	height:29	text:94	confidence:God	level:5	isAnnotation:False
